title,genres,year
A Cinderella Story,Comedy,2004
Just Married,Comedy,2003
The Book Thief,Drama,2013
Won't Back Down,Drama,2012
Indignation,Drama,2016
Land of the Dead,Horror,2005
Out of Inferno,Action,2013
Neighbors,Comedy,2014
Legally Blonde,Comedy,2001
Deuce Bigalow: Male Gigolo,Comedy,1999
Mean Girls,Comedy,2004
The Fog,Horror,1980
Raging Bull,Drama,1980
Life as a House,Drama,2001
The Ice Storm,Drama,1997
Dragonslayer,Fantasy,1981
Labor Day,Drama,2013
Mongol: The Rise of Genghis Khan,History,2007
Hamlet,Drama,1996
Restoration,Horror,2016
Metallica: Through the Never,Music,2013
The Informers,Drama,2008
Red Lights,Thriller,2012
Superbad,Comedy,2007
City of Ghosts,Thriller,2002
Let's Be Cops,Comedy,2014
Beerfest,Comedy,2006
The Best Man Holiday,Comedy,2013
A Night at the Roxbury,Comedy,1998
Dickie Roberts: Former Child Star,Comedy,2003
"McFarland, USA",Drama,2015
Lottery Ticket,Comedy,2010
ATL,Drama,2006
Larry the Cable Guy: Health Inspector,Comedy,2006
The Adventures of Elmo in Grouchland,Family,1999
Evil Dead,Horror,2013
How She Move,Drama,2008
Bobby Jones: Stroke of Genius,Drama,2004
Shanghai Surprise,Adventure,1986
Sydney White,Comedy,2007
House of Sand and Fog,Drama,2003
Dead Poets Society,Drama,1989
Dumb and Dumber,Comedy,1994
The Verdict,Drama,1982
The Texas Chainsaw Massacre: The Beginning,Horror,2006
The Young Messiah,Drama,2016
White Oleander,Drama,2002
Philadelphia,Drama,1993
Things We Lost in the Fire,Drama,2007
Welcome to the Sticks,Comedy,2008
Good,Drama,2008
American Beauty,Drama,1999
Twins,Comedy,1988
The Color Purple,Drama,1985
Private Benjamin,Comedy,1980
Mama,Horror,2013
Bad Grandpa,Comedy,2013
The Queen,Drama,2006
Not Another Teen Movie,Comedy,2001
Halloween II,Horror,2009
Wild,Drama,2014
The Great Debaters,Drama,2007
Confessions of a Teenage Drama Queen,Comedy,2004
When the Game Stands Tall,Drama,2014
All About Steve,Comedy,2009
Boogie Nights,Drama,1997
Flicka,Drama,2006
Urban Legends: Final Cut,Horror,2000
A Most Wanted Man,Thriller,2014
Freddy Got Fingered,Comedy,2001
Whip It,Drama,2009
Barney's Great Adventure,Family,1998
The Man with the Iron Fists,Action,2012
Here On Earth,Romance,2000
Black Snake Moan,Drama,2006
Boat Trip,Comedy,2002
Peeples,Comedy,2013
Post Grad,Comedy,2009
Promised Land,Drama,2012
The In Crowd,Thriller,2000
The Company,Drama,2007
Felicia's Journey,Drama,1999
Winnie Mandela,Drama,2011
Chiamatemi Francesco - Il Papa della gente,Drama,2015
Freedom,Drama,2014
Unforgiven,Western,1992
Manderlay,Drama,2005
Cool Runnings,Comedy,1993
Our Family Wedding,Comedy,2010
Dead Man on Campus,Comedy,1998
Fun Size,Comedy,2012
The Diving Bell and the Butterfly,Drama,2007
Margaret,Drama,2011
Hot Tub Time Machine 2,Comedy,2015
Quills,Drama,2000
The Sea Inside,Drama,2004
Miracles from Heaven,Drama,2016
St. Vincent,Comedy,2014
Dirty Work,Comedy,1998
Dick,Comedy,1999
21 & Over,Comedy,2013
Resurrecting the Champ,Drama,2007
Excessive Force,Action,1993
Infamous,Drama,2006
How High,Comedy,2001
Philomena,Drama,2013
My Baby's Daddy,Comedy,2004
Rachel Getting Married,Drama,2008
Sorority Boys,Comedy,2002
Girl 6,Comedy,1996
Welcome to Collinwood,Comedy,2002
Breakfast of Champions,Comedy,1999
Space Battleship Yamato,Science Fiction,2010
Triangle,Horror,2009
10 Days in a Madhouse,Drama,2015
Heaven is for Real,Drama,2014
Madadayo,Drama,1993
The Cry of the Owl,Drama,2009
Dirty Grandpa,Comedy,2016
The Fighter,Drama,2010
If I Stay,Drama,2014
Major League,Comedy,1989
Dead Man Walking,Drama,1995
History of the World: Part I,Comedy,1981
The Secret Life of Bees,Adventure,2008
Invaders from Mars,Science Fiction,1986
Out Cold,Comedy,2001
The Ladies Man,Comedy,2000
Woman in Gold,Drama,2015
Kinsey,Drama,2004
Copying Beethoven,Drama,2006
Darkness,Horror,2002
Good Will Hunting,Drama,1997
Bring It On,Comedy,2000
The Color of Money,Drama,1986
Happy Gilmore,Comedy,1996
Friday After Next,Comedy,2002
Sinister 2,Horror,2015
Skyline,Science Fiction,2010
Mud,Drama,2013
"The Goods: Live Hard, Sell Hard",Comedy,2009
My Week with Marilyn,Drama,2011
Drop Dead Gorgeous,Comedy,1999
Big Eyes,Drama,2014
Movie 43,Comedy,2013
Over Her Dead Body,Comedy,2008
Cedar Rapids,Comedy,2011
American History X,Drama,1998
The Straight Story,Drama,1999
Bad Words,Comedy,2013
Black or White,Drama,2014
Crash,Drama,2004
Bucky Larson: Born to Be a Star,Comedy,2011
A Better Life,Drama,2011
The Brothers Solomon,Comedy,2007
Illuminata,Drama,1998
The Brown Bunny,Drama,2004
Rosewater,Drama,2014
The Chambermaid on the Titanic,Drama,1997
Welcome to the Rileys,Drama,2010
"An Alan Smithee Film: Burn, Hollywood, Burn",Comedy,1998
Janky Promoters,Comedy,2009
Good Intentions,Comedy,2010
Adventureland,Comedy,2009
Next Friday,Comedy,2000
American Heist,Action,2014
The Texas Chain Saw Massacre,Horror,1974
Sicko,Documentary,2007
Trading Places,Comedy,1983
The Savages,Drama,2007
PCU,Comedy,1994
Gracie,Drama,2007
Barbecue,Comedy,2014
Princess Kaiulani,Drama,2010
Polisse,Drama,2011
Baggage Claim,Comedy,2013
Barbarella,Science Fiction,1968
Election,Comedy,1999
The Namesake,Drama,2006
Yeh Jawaani Hai Deewani,Romance,2013
You Got Served,Drama,2004
Modern Problems,Comedy,1981
Kicks,Adventure,2016
Akeelah and the Bee,Drama,2006
New in Town,Comedy,2009
The City of Your Final Destination,Drama,2009
Easy A,Comedy,2010
Prom,Comedy,2011
Held Up,Comedy,1999
When Did You Last See Your Father?,Drama,2007
Wuthering Heights,Drama,2009
Aloft,Drama,2014
The Rocket: The Legend of Rocket Richard,Drama,2005
Mr. Church,Drama,2016
Hostel: Part II,Horror,2007
Men with Brooms,Comedy,2002
Extract,Comedy,2009
Outside Bet,Comedy,2012
Albert Nobbs,Drama,2011
Pound of Flesh,Action,2015
Jumping the Broom,Comedy,2011
Michael Jordan to the Max,Documentary,2000
Devil's Due,Horror,2014
House of 1000 Corpses,Horror,2003
The Last Temptation of Christ,Drama,1988
Who's Your Caddy?,Comedy,2007
Redbelt,Drama,2008
Factory Girl,Drama,2006
Losin' It,Comedy,1983
Chairman of the Board,Comedy,1998
Hesher,Drama,2010
The Extra Man,Comedy,2010
Wah-Wah,Drama,2005
Annabelle,Horror,2014
Nowhere in Africa,Drama,2001
Shame,Drama,2011
The Work and the Glory II: American Zion,Drama,2005
Control,Drama,2007
The Damned United,Drama,2009
Grease,Romance,1978
Fahrenheit 9/11,Documentary,2004
Ordinary People,Drama,1980
Caddyshack,Comedy,1980
Duel in the Sun,Western,1946
Best in Show,Comedy,2000
The Last King of Scotland,Drama,2006
Dolphins and Whales: Tribes of the Ocean,Documentary,2008
College,Comedy,2008
Simply Irresistible,Comedy,1999
Only the Strong,Action,1993
The Wackness,Drama,2008
Morvern Callar,Drama,2002
The 5th Quarter,Drama,2011
The Flower of Evil,Drama,2003
The Greatest,Drama,2009
Julia,Drama,1977
"Surfer, Dude",Comedy,2008
Lake of Fire,Documentary,2006
Song One,Drama,2014
Freaky Deaky,Comedy,2012
Stiff Upper Lips,Comedy,1998
Sunshine State,Drama,2002
Shine,Drama,1996
High Plains Drifter,Western,1973
The Chorus,Drama,2004
Do the Right Thing,Drama,1989
Harvard Man,Drama,2001
Rang De Basanti,Drama,2006
Animals,Drama,2014
The Ten,Comedy,2007
Miss Julie,Drama,2014
Saw II,Horror,2005
Paranormal Activity 3,Horror,2011
Ouija,Horror,2014
Paranormal Activity 4,Horror,2012
The Robe,Drama,1953
The Return of the Pink Panther,Comedy,1975
Oculus,Horror,2013
Clerks II,Comedy,2006
House Party 2,Comedy,1991
The Apostle,Drama,1997
Mommie Dearest,Drama,1981
The Players Club,Drama,1998
Eve's Bayou,Drama,1997
Still Alice,Drama,2014
UHF,Comedy,1989
Grandma's Boy,Comedy,2006
Once Upon a Time in the West,Western,1968
Keeping Up with the Steins,Comedy,2006
Sea Rex 3D: Journey to a Prehistoric World,Documentary,2010
The Sweet Hereafter,Drama,1997
90 Minutes in Heaven,Drama,2015
Rabbit Hole,Drama,2010
Standard Operating Procedure,Documentary,2008
Out of the Blue,Drama,1980
Sleep Tight,Thriller,2011
Flying By,Drama,2009
Running Forever,Family,2015
Sling Blade,Drama,1996
Hostel,Horror,2005
Let's Kill Ward's Wife,Comedy,2014
The Texas Chainsaw Massacre 2,Horror,1986
Pat Garrett & Billy the Kid,Western,1973
Savage Grace,Drama,2007
Out of the Blue,Drama,2006
Fast Times at Ridgemont High,Comedy,1982
Salvador,Drama,1986
Moms' Night Out,Comedy,2014
Mozart's Sister,Drama,2010
One Flew Over the Cuckoo's Nest,Drama,1975
Silent Movie,Comedy,1976
Porky's,Comedy,1981
Night of the Living Dead,Horror,1968
Lost in Translation,Drama,2003
Maggie,Horror,2015
The Boy Next Door,Thriller,2015
Trapeze,Drama,1956
What the #$*! Do We (K)now!?,Documentary,2004
Boyhood,Drama,2014
The Real Cancun,Documentary,2003
Talk Radio,Drama,1988
Mirrormask,Fantasy,2005
The Loss of Sexual Innocence,Drama,1999
Joe,Drama,2014
Psycho Beach Party,Comedy,2000
"Guten Tag, Ramón",Drama,2013
Adore,Drama,2013
Mondays in the Sun,Drama,2002
The Last Time I Committed Suicide,Drama,1997
Futuro Beach,Drama,2014
The Geographer Drank His Globe Away,Drama,2013
The Veil,Horror,2016
The Loved Ones,Horror,2009
The Helpers,Horror,2012
Network,Drama,1976
Desert Dancer,Drama,2014
The House of Sand,Drama,2005
Midnight Cowboy,Drama,1969
The Full Monty,Comedy,1997
Airplane!,Comedy,1980
Friday,Comedy,1995
Creepshow 2,Horror,1987
The Nun's Story,Drama,1959
Gods and Monsters,Drama,1998
D.E.B.S.,Action,2004
The Secret,Drama,2016
Time to Choose,Documentary,2015
Stranded,Drama,2015
August,Drama,2011
Whiplash,Drama,2014
The Hunt,Drama,2012
The Opposite Sex,Comedy,2014
The Class,Drama,2008
The Man Who Shot Liberty Valance,Western,1962
Animal House,Comedy,1978
The Original Kings of Comedy,Comedy,2000
Bowling for Columbine,Documentary,2002
Coming Home,Drama,2014
A Nightmare on Elm Street Part 2: Freddy's Revenge,Horror,1985
Martin Lawrence Live: Runteldat,Comedy,2002
Elmer Gantry,Drama,1960
Red River,Western,1948
Woman Thou Art Loosed,Drama,2004
East Is East,Comedy,1999
Thirteen Conversations About One Thing,Drama,2001
Jawbreaker,Comedy,1999
Fish Tank,Drama,2009
Tim and Eric's Billion Dollar Movie,Comedy,2012
The Divide,Science Fiction,2011
My Big Fat Independent Movie,Comedy,2005
Tanner Hall,Drama,2009
They Came Together,Comedy,2014
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,Comedy,2013
Enter the Dangerous Mind,Thriller,2013
AWOL-72,Thriller,2015
Central Station,Drama,1998
Freakonomics,Documentary,2010
Hustle & Flow,Drama,2005
Ulee's Gold,Drama,1997
Ida,Drama,2013
Beer League,Comedy,2006
Riding Giants,Documentary,2004
"Fat, Sick & Nearly Dead",Documentary,2010
2016: Obama's America,Documentary,2012
Brick Lane,Drama,2007
Valley of the Heart's Delight,Drama,2006
Eye of the Dolphin,Drama,2007
8: The Mormon Proposition,Documentary,2010
Antibirth,Horror,2016
Get on the Bus,Drama,1996
The Rise of the Krays,Crime,2015
Redemption Road,Drama,2011
The Calling,Thriller,2014
The Last Sin Eater,Drama,2007
The Valley of Decision,Drama,1945
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Comedy,1972
Courageous,Drama,2011
The Hustler,Drama,1961
Winter's Bone,Drama,2010
Inside Job,Documentary,2010
Witchboard,Horror,1986
No End in Sight,Documentary,2007
In the Shadow of the Moon,Documentary,2007
The Virginity Hit,Comedy,2010
Saint John of Las Vegas,Comedy,2009
Stonewall,Drama,2015
Sherrybaby,Drama,2006
Plush,Thriller,2013
Stitches,Horror,2012
"To Be Frank, Sinatra at 100",Documentary,2015
Bananas,Comedy,1971
Supercapitalist,Thriller,2012
Coffee Town,Comedy,2013
Slacker Uprising,Documentary,2007
Shark Lake,Thriller,2015
One to Another,Drama,2006
Brotherly Love,Drama,2015
Nowhere Boy,Drama,2009
A Streetcar Named Desire,Drama,1951
Ed and His Dead Mother,Comedy,1993
Hang 'em High,Western,1968
Under the Same Moon,Drama,2008
She Wore a Yellow Ribbon,Western,1949
Cabin Fever,Horror,2016
Waitress,Comedy,2007
Bloodsport,Action,1988
Kissing Jessica Stein,Comedy,2001
The Gatekeepers,Documentary,2012
The Ballad of Jack and Rose,Drama,2005
The Believer,Drama,2001
Mooz-lum,Drama,2011
The Salon,Comedy,2005
Road Hard,Comedy,2015
Trucker,Drama,2008
Wal-Mart: The High Cost of Low Price,Documentary,2005
Mutant World,Science Fiction,2014
Shalako,Western,1968
The Dog Lover,Drama,2016
The Ballad of Gregorio Cortez,Western,1983
The Celebration,Drama,1998
Journey from the Fall,Drama,2006
The Basket,Drama,2000
Def-Con 4,Science Fiction,1985
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,Comedy,2010
The Lost Weekend,Drama,1945
Filly Brown,Drama,2013
How Green Was My Valley,Drama,1941
"Sex, Lies, and Videotape",Drama,1989
But I'm a Cheerleader,Comedy,1999
Home Run,Drama,2013
"The Good, the Bad and the Ugly",Western,1966
The Second Mother,Drama,2015
"Pink Ribbons, Inc.",Documentary,2011
Certifiably Jonathan,Comedy,2007
Extreme Movie,Comedy,2008
The Wicked Within,Horror,2015
Bleeding Hearts,Horror,2013
Waiting...,Comedy,2005
Sex With Strangers,Documentary,2002
Dracula: Pages from a Virgin's Diary,Horror,2002
Faith Like Potatoes,Drama,2006
Rocky,Drama,1976
The Sleepwalker,Drama,2014
Hellraiser,Horror,1987
God's Not Dead 2,Drama,2016
Transamerica,Drama,2005
An Inconvenient Truth,Documentary,2006
"Food, Inc.",Documentary,2008
October Baby,Drama,2011
The Skeleton Twins,Drama,2014
Frozen River,Drama,2008
Who Killed the Electric Car?,Documentary,2006
Slam,Drama,1998
Orgazmo,Comedy,1997
Dream with the Fishes,Comedy,1997
Blue Car,Drama,2002
Palo Alto,Drama,2014
The Act of Killing,Documentary,2012
Taxi to the Dark Side,Documentary,2007
Once in a Lifetime: The Extraordinary Story of the New York Cosmos,Documentary,2006
Guiana 1838,Drama,2004
A LEGO Brickumentary,Documentary,2015
Chocolate: Deep Dark Secrets,Thriller,2005
The Party's Over,Drama,1965
Proud,Drama,2004
The Poker House,Drama,2008
ZMD: Zombies of Mass Destruction,Horror,2009
Doc Holliday's Revenge,Western,2014
Fear Clinic,Horror,2014
A Fine Step,Drama,2014
Food Chains,Documentary,2014
L!fe Happens,Comedy,2011
"4 Months, 3 Weeks and 2 Days",Drama,2007
The Horror Network Vol. 1,Horror,2015
Circumstance,Drama,2011
Fruitvale Station,Drama,2013
The Hammer,Comedy,2007
Elza,Drama,2011
"For a Good Time, Call...",Comedy,2012
A Separation,Drama,2011
The Mudge Boy,Drama,2003
The Young Unknowns,Drama,2000
Not Cool,Comedy,2014
Iraq for Sale: The War Profiteers,Documentary,2006
The Conformist,Drama,1970
Bled,Horror,2008
High Noon,Western,1952
Hoop Dreams,Documentary,1994
Rize,Documentary,2005
L.I.E.,Drama,2001
Half Nelson,Drama,2006
Naturally Native,Drama,1999
The Hadza:  Last of the First,Documentary,2014
Treachery,Drama,2013
The Kentucky Fried Movie,Comedy,1977
Broken Vessels,Drama,1998
The Maid's Room,Thriller,2014
The Harvest (La Cosecha),Documentary,2011
Fireproof,Drama,2008
High Road,Comedy,2012
To Save A Life,Drama,2009
Wordplay,Documentary,2006
Beyond the Mat,Documentary,1999
Osama,Drama,2003
Sholem Aleichem: Laughing In The Darkness,Documentary,2012
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,Documentary,2012
The Other Dream Team,Documentary,2012
Finishing The Game,Comedy,2007
The Slaughter Rule,Drama,2002
The Living Wake,Comedy,2007
Everything Put Together,Drama,2001
Rodeo Girl,Family,2016
Born to Fly: Elizabeth Streb vs. Gravity,Documentary,2014
Straight Out of Brooklyn,Drama,1991
Napoleon Dynamite,Comedy,2004
Dogtown and Z-Boys,Documentary,2001
Quinceañera,Drama,2006
I Want Your Money,Documentary,2010
The Beyond,Horror,1981
Cries and Whispers,Drama,1972
Intolerance,Drama,1916
Trekkies,Documentary,1997
The Evil Dead,Horror,1981
Maniac,Horror,2012
Murderball,Documentary,2005
51 Birch Street,Documentary,2006
12 Angry Men,Drama,1957
Dogtooth,Drama,2009
When the Cat's Away,Comedy,1996
Old Joy,Drama,2006
Wendy and Lucy,Drama,2008
3 Backyards,Drama,2010
Sisters in Law,Documentary,2005
Ayurveda: Art of Being,Documentary,2001
Nothing But a Man,Drama,1964
"First Love, Last Rites",Drama,1998
Midnight Cabaret,Horror,1990
Graduation Day,Horror,1981
Teeth and Blood,Horror,2015
Sugar Town,Comedy,1999
On the Outs,Drama,2004
Sunday School Musical,Music,2008
Rust,Drama,2010
Give Me Shelter,Documentary,2014
Little Big Top,Comedy,2006
Western Religion,Western,2015
The Stewardesses,Comedy,1969
A Fistful of Dollars,Western,1964
She Done Him Wrong,Comedy,1933
The Grace Card,Drama,2011
Middle of Nowhere,Drama,2012
Call + Response,Documentary,2008
Super Hybrid,Horror,2010
American Beast,Horror,2014
The Case of the Grinning Cat,Documentary,2004
Ordet,Drama,1955
The Trials Of Darryl Hunt,Documentary,2007
Archaeology of a Woman,Drama,2014
Butterfly Girl,Documentary,2014
The World Is Mine,Drama,2015
Perfect Cowboy,Drama,2014
The Woman Chaser,Drama,1999
The Horse Boy,Documentary,2009
Aroused,Documentary,2013
Top Spin,Documentary,2014
A Dog's Breakfast,Comedy,2007
The Birth of a Nation,Drama,2016
The Work and The Story,Comedy,2003
Facing the Giants,Drama,2006
Hollywood Shuffle,Comedy,1987
Dude Where's My Dog?,Family,2014
Indie Game: The Movie,Documentary,2012
Straightheads,Thriller,2007
"Peace, Propaganda & the Promised Land",Documentary,2005
Queen Crab,Science Fiction,2015
The FP,Comedy,2011
Tiger Orange,Drama,2014
The Dirties,Drama,2013
Counting,Documentary,2015
Bending Steel,Documentary,2013
The Image Revolution,Documentary,2013
This Is Martin Bonner,Drama,2013
A True Story,Comedy,2013
George Washington,Drama,2000
